Todas as Informações aqui contidas são relativas ao 5 dia util de outubro de 2023. Após essa data podem ter ocorrido mudanças e deslocamentos.;;;;;;;;;;;
DAA 2023 - Amostras de Fluidos;;;;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Tipo de fluido;Profundidade topo (m);Profundidade base (m);Quantidade de amostra;Tipo de container;Volume (L);Data de conclusão do poço;Município/Estado;Depositária
RECÔNCAVO;20240026825;8-AG-421DP-BA;;423,00;443;1;Garrafa ambar 1L;Menos de 5L;19/02/2013;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240027470;4-BSU-14D-BA;;0,00;2.114;1;Garrafa ambar 1L;Menos de 5L;17/04/2014;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240027470;4-BSU-14D-BA;;2.101,00;2.107;2;Garrafa ambar 1L;Menos de 5L;17/04/2014;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240027470;4-BSU-14D-BA;;;2.114;1;Garrafa ambar 1L;Menos de 5L;17/04/2014;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240027470;4-BSU-14D-BA;;;2.114;1;Garrafa ambar 1L;Menos de 5L;17/04/2014;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240027470;4-BSU-14D-BA;;2.101,00;2.107;1;Garrafa ambar 1L;Menos de 5L;17/04/2014;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240026825;8-AG-421DP-BA;;423,00;443;1;Garrafa ambar 1L;Menos de 5L;19/02/2013;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240026825;8-AG-421DP-BA;;423,00;443;1;Garrafa ambar 1L;Menos de 5L;19/02/2013;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240026825;8-AG-421DP-BA;;423,00;443;1;Garrafa ambar 1L;Menos de 5L;19/02/2013;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240019596;7-AG-375-BA;;1.330,00;1.335;1;Garrafa ambar 1L;Menos de 5L;22/09/2001;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240024597;1-BRSA-812D-BA (1-FPI-1D-BA);;-;1.437;1;Garrafa ambar 1L;Menos de 5L;02/05/2010;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400109500;7-AG-164-BA;;-;-;2;Garrafa de vidro não padrão;Menos de 5L;18/04/1961;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400109500;7-AG-164-BA;;1.247,00;1.270;1;Garrafa de vidro não padrão;Menos de 5L;18/04/1961;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240024432;1-BRSA-787DPA-BA;;1.375,00;1.381;5;-;Menos de 5L;06/02/2011;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240022068;7-AG-399P-BA;;1.312,00;1.328;1;Garrafa ambar 1L;Menos de 5L;20/12/2006;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240023600; 7-AG-420D-BA;;-;1.904;1;Garrafa ambar 1L;Menos de 5L;05/03/2009;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240022137;7-AG-400D-BA;;1.428,50;1.450;2;Garrafa ambar 1L;Menos de 5L;19/03/2007;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240028314;7-AG-437D-BA;;1434;1.443;2;Garrafa ambar 1L;Menos de 5L;20/08/2015;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240028314;7-AG-437D-BA;;-;-;2;Garrafa ambar 1L;Menos de 5L;20/08/2015;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240028314;7-AG-437D-BA;;-;-;2;Garrafa ambar 1L;Menos de 5L;20/08/2015;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;20240022803;7-AG-406P-BA;;1.753,00;1.760;2;Garrafa ambar 1L;Menos de 5L;21/03/2008;RIO DE JANEIRO/RJ;3R
POTIGUAR;301000519200;7-FZB-551-CE;ÓLEO;433,00;446,00;1;Frasco âmbar 1L;1,00;11/07/1997;RIO DE JANEIRO/RJ;3R
POTIGUAR;301000519200;7-FZB-551-CE;ÓLEO;433,00;446,00;1;Frasco âmbar 1L;1,00;11/07/1997;RIO DE JANEIRO/RJ;3R
POTIGUAR;301000085100;3-FZB-120-CE;ÓLEO;434,50;468,50;1;Frasco âmbar 1L;1,00;11/04/1982;RIO DE JANEIRO/RJ;3R
POTIGUAR;301000085100;3-FZB-120-CE;ÓLEO;434,50;468,50;1;Frasco âmbar 1L;1,00;11/04/1982;RIO DE JANEIRO/RJ;3R
PARNAÍBA;50090024858;1-OGX-16-MA;ÁGUA;761,00;792,00;1;garrafa de plástico | 2 L;2 L;10/10/2010;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090024858;1-OGX-16-MA;ÁGUA;0,00;839,20;1;garrafa de plástico | 2 L;2 L;10/10/2010;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025127;1-OGX-22-MA;água/lama;2.100,00;2.112,00;1;garrafa de plástico | 2 L;2 L;24/01/2011;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025127;1-OGX-22-MA;ÁGUA;2.670,00;2.721,00;1;garrafa de plástico | 2 L;2 L;24/01/2011;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025127;1-OGX-22-MA;ÁGUA;0,00;1.567,00;1;garrafa de plástico | 2 L;2 L;24/01/2011;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025127;1-OGX-22-MA;água/lama;1.803,00;1.811,00;1;garrafa de plástico | 2 L;2 L;24/01/2011;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025127;1-OGX-22-MA;ÁGUA;0,00;1.825,00;1;garrafa de plástico | 2 L;2 L;24/01/2011;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025347;1-OGX-34-MA;água/lama;2.525,00;2.577,00;1;garrafa de plástico | 2 L;2 L;02/05/2011;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025347;1-OGX-34-MA;ÁGUA;0,00;1.321,50;1;garrafa de plástico | 2 L;2 L;02/05/2011;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025347;1-OGX-34-MA;ÁGUA;0,00;1.767,50;1;garrafa de plástico | 2 L;2 L;02/05/2011;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025692;1-OGX-59-MA;ÁGUA;1.192,70;1.210,00;1;garrafa de plástico | 2 L;2 L;11/10/2011;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025692;1-OGX-59-MA;ÁGUA;0,00;1.175,00;1;garrafa de vidro | 1 L;1.6 L;11/10/2011;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025692;1-OGX-59-MA;ÁGUA;1.482,70;1.500,00;1;garrafa de vidro | 500 ml;250 ml;11/10/2011;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025813;1-OGX-66-MA;ÁGUA;1.170,34;1.188,00;1;garrafa de plástico | 2 L;2 L;15/11/2011;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090026110;1-OGX-77-MA;ÁGUA;1.645,10;1.680,00;1;garrafa de plástico | 2 L;2 L;03/05/2012;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090026110;1-OGX-77-MA;ÁGUA;778,00;798,00;1;garrafa de plástico | 2 L;2 L;03/05/2012;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090026110;1-OGX-77-MA;água/lama;1.645,10;1.680,00;1;garrafa de plástico | 2 L;2 L;03/05/2012;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090026110;1-OGX-77-MA;água/lama;1.645,10;1.680,00;1;garrafa de plástico | 2 L;2 L;03/05/2012;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090026233;1-OGX-82-MA;ÁGUA;1.711,80;1.732,30;1;garrafa de plástico | 2 L;2 L;14/06/2012;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090026436;1-OGX-92-MA;ÁGUA;1.750,00;1.760,00;1;garrafa de plástico | 2 L;2 L;13/09/2012;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090026436;1-OGX-92-MA;ÁGUA;1.750,00;1.760,00;1;garrafa de vidro | 500 ml;300 ml;13/09/2012;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090026528;1-OGX-96-MA;lama;1.706,00;1.713,00;1;garrafa de plástico | 2 L;2 L;24/12/2012;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090026528;1-OGX-96-MA;lama;2.120,00;2.133,00;1;garrafa de plástico | 2 L;2 L;24/12/2012;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025419;3-OGX-38-MA;ÁGUA;1.734,00;1.845,00;1;garrafa de plástico | 2 L;2 L;11/06/2011;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025419;3-OGX-38-MA;ÁGUA;1.787,07;1.805,70;1;garrafa de plástico | 2 L;1.4 L;11/06/2011;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025514;3-OGX-46D-MA;ÁGUA;0,00;1.549,00;1;garrafa de plástico | 2 L;2 L;30/06/2011;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025514;3-OGX-46D-MA;ÁGUA;0,00;1.576,80;1;garrafa de plástico | 2 L;1.4 L;30/06/2011;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025651;3-OGX-57-MA;ÁGUA;1.795,00;1.805,00;1;garrafa de plástico | 2 L;2 L;26/08/2011;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025651;3-OGX-57-MA;ÁGUA;0,00;1.769,90;1;garrafa de plástico | 2 L;2 L;26/08/2011;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090026495;3-OGX-95-MA;ÁGUA;1.338,00;1.353,00;1;garrafa de plástico | 2 L;2 L;15/09/2012;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090026495;3-OGX-95-MA;ÁGUA;1.339,00;1.353,00;1;garrafa de vidro | 500 ml;200 ml;15/09/2012;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090027782;3-PGN-2-MA;ÁGUA;0,00;1.601,50;1;garrafa de plástico | 2 L;2 L;19/10/2014;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090026882;4-OGX-108B-MA;ÁGUA;211,00;220,00;1;garrafa de plástico | 2 L;2 L;22/03/2013;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090027069;4-OGX-113-MA;água/lama;1.410,00;1.418,00;1;garrafa de plástico | 2 L;2 L;23/06/2013;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090027069;4-OGX-113-MA;água/lama;1.707,00;1.750,00;1;garrafa de plástico | 2 L;2 L;23/06/2013;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025578;4-OGX-49-MA;ÁGUA;0,00;1.787,20;1;garrafa de plástico | 2 L;2 L;06/08/2011;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025578;4-OGX-49-MA;ÁGUA;0,00;1.773,50;1;garrafa de plástico | 2 L;2 L;06/08/2011;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090026413;4-OGX-91D-MA;ÁGUA;0,00;1.073,30;1;garrafa de plástico | 2 L;2 L;24/08/2012;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090028127;4-PGN-10-MA;condensado;0,00;0,00;1;garrafa de plástico | 2 L;1.0 L;09/04/2015;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090026761;5-OGX-103-MA;lama;203,00;224,00;1;garrafa de plástico | 2 L;2 L;12/01/2013;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090026761;5-OGX-103-MA;água/lama;0,00;232,80;1;garrafa de plástico | 2 L;1.6 L;12/01/2013;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090027802;7-GVB-1D-MA;ÁGUA;0,00;1.498,00;1;garrafa de plástico | 2 L;2 L;11/10/2014;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090027574;7-GVR-19D-MA;ÁGUA;0,00;1.680,10;1;garrafa de plástico | 2 L;2 L;23/05/2014;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025758;7-GVR-1DA-MA;condensado;0,00;0,00;1;garrafa de plástico | 2 L;2 L;17/11/2011;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025758;7-GVR-1DA-MA;condensado;0,00;2.117,20;1;garrafa de plástico | 2 L;2 L;17/11/2011;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090027743;7-GVR-21-MA;ÁGUA;0,00;1.609,50;1;garrafa de plástico | 2 L;1 L;10/09/2014;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025893;7-GVR-2D-MA;ÁGUA DE FORMAÇÃO;0,00;1.698,40;1;garrafa de plástico | 2 L;2 L;08/01/2012;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090025895;7-GVR-3D-MA;água/lama;2.077,00;2.102,00;1;garrafa de plástico | 2 L;2 L;06/01/2012;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090026261;7-GVR-9-MA;água/óleo;0,00;899,70;1;garrafa de plástico | 2 L;2 L;23/06/2012;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090026261;7-GVR-9-MA;ÁGUA;0,00;1.282,10;1;garrafa de plástico | 2 L;2 L;23/06/2012;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090026299;7-GVR-10D-MA;água/condensado;0,00;1.610,00;1;garrafa de vidro | 500 ml;250 ml;29/06/2012;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090026299;7-GVR-10D-MA;água/condensado;0,00;1.460,00;1;garrafa de vidro | 500 ml;300 ml;29/06/2012;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090026299;7-GVR-10D-MA;água/condensado;0,00;1.319,00;1;garrafa de vidro | 500 ml;200 ml;29/06/2012;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090026299;7-GVR-10D-MA;água/condensado;0,00;1.170,00;1;garrafa de vidro | 500 ml;200 ml;29/06/2012;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090026299;7-GVR-10D-MA;ÁGUA;0,00;1.750,00;1;pote de plástico | 5 L;2 L;29/06/2012;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029597;3-ENV-11D-MA;água/lama;0,00;2.299,60;1;garrafa de plástico | 2 L;2 L;02/07/2020;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029513;4-ENV-10-MA;ÁGUA;0,00;0,00;1;vidro ambar 100 ml;80 ml;29/12/2019;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029513;4-ENV-10-MA;ÁGUA;0,00;0,00;1;vidro ambar 100 ml;90 ml;29/12/2019;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029513;4-ENV-10-MA;ÁGUA;0,00;0,00;1;Garrafa schott 500ml;500 ml;29/12/2019;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029513;4-ENV-10-MA;ÁGUA;0,00;0,00;1;vidro 15 ml;5 ml;29/12/2019;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029513;4-ENV-10-MA;ÁGUA;0,00;0,00;1;vidro 15 ml;5 ml;29/12/2019;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029691;1-ENV-18-MA;fluido de poço;1.500,00;2.450,00;1;pote de plástico | 5 L;;09/06/2021;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029702;1-ENV-19-MA;fluido de poço;1.209,00;1.500,00;1;pote de plástico | 5 L;5L;13/07/2021;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029702;1-ENV-19-MA;fluido de poço;0,00;0,00;1;garrafa de vidro | 50 ml;45 ml;13/07/2021;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029737;1-ENV-24D-MA;fluido de poço;0,00;1.830,00;1;pote de plástico | 5 L;5L;29/10/2021;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029737;1-ENV-24D-MA;fluido de poço;0,00;0,00;1;garrafa de vidro | 50 ml;20 ml;29/10/2021;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029801;3-ENV-32D-MA;fluido de poço;0,00;0,00;1;frasco de vidro 100 ml;10 ml;17/04/2022;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029801;3-ENV-32D-MA;fluido de poço;1.718,00;1.760,00;1;garrafa de plástico | 5 L;4L;17/04/2022;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029801;3-ENV-32D-MA;fluido de poço;2.010,00;2.025,00;1;garrafa de plástico | 5 L;2.5L;17/04/2022;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029850;1-ENV-36-MA;fluido de poço;1.505,00;1.589,00;1;garrafa de plástico | 1 L;700 ml;16/08/2022;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029850;1-ENV-36-MA;fluido de poço;1.505,00;1.589,00;1;frasco de vidro 100 ml;10 ml;16/08/2022;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029850;1-ENV-36-MA;fluido de poço;1.907,00;2.379,00;1;garrafa de plástico | 1 L;1L;16/08/2022;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029850;1-ENV-36-MA;fluido de poço;0,00;0,00;1;frasco de vidro 100 ml;10 ml;16/08/2022;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029756;7-GVTE-2D-MA;fluido de poço;0,00;0,00;1;frasco de vidro 100 ml;0.5 ml;16/12/2021;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029839;7-GVBL-7D-MA;fluido de poço;0,00;0,00;1;frasco de vidro 100 ml;20 ml;16/07/2022;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029839;7-GVBL-7D-MA;fluido de poço;0,00;0,00;1;frasco de vidro 100 ml;20 ml;16/07/2022;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029839;7-GVBL-7D-MA;fluido de poço;1.604,00;1.611,00;1;garrafa de plástico | 5 L;5L;16/07/2022;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029744;1-ENV-26-MA;fluido de poço;0,00;0,00;1;frasco de vidro 50 ml;0.5 ml;16/11/2021;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029744;1-ENV-26-MA;fluido de poço;0,00;1.545,00;1;garrafa de plástico | 5 L;5L;16/11/2021;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029744;1-ENV-26-MA;fluido de poço;689,00;993,00;1;garrafa de plástico | 5 L;5L;16/11/2021;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029597;3-ENV-11D-MA;água/óleo;0,00;2.299,60;1;frasco de vidro | 50 ml;+-45 ml;02/07/2020;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029597;3-ENV-11D-MA;ÁGUA;0,00;2.299,60;1;frasco de vidro | 50 ml;+-45 ml;02/07/2020;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029597;3-ENV-11D-MA;água/óleo;0,00;2.299,60;1;frasco de vidro | 50 ml;+-35 ml;02/07/2020;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029597;3-ENV-11D-MA;ÁGUA;0,00;2.299,60;1;frasco de vidro | 50 ml;50 ml;02/07/2020;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029597;3-ENV-11D-MA;ÁGUA;0,00;2.299,60;1;frasco de vidro | 50 ml;50ml;02/07/2020;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029597;3-ENV-11D-MA;ÁGUA;0,00;2.299,60;1;frasco de vidro | 50 ml;50 ml;02/07/2020;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029597;3-ENV-11D-MA;água/óleo;0,00;2.299,60;1;frasco de vidro | 50 ml;50 ml;02/07/2020;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029597;3-ENV-11D-MA;água/óleo;0,00;2.299,60;1;frasco de vidro | 50 ml;50 ml;02/07/2020;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029597;3-ENV-11D-MA;água/óleo;0,00;2.299,60;1;frasco de vidro | 50 ml;50 ml;02/07/2020;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029691;1-ENV-18-MA;filtrado;0,00;0,00;1;frasco de vidro | 50 ml;+-30 ml;09/06/2021;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029425;4-ENV-6-MA;ÓLEO;0,00;2.259,50;1;vidro ambar 1 L;+-600 ml;08/08/2019;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029425;4-ENV-6-MA;ÓLEO;0,00;2.259,50;1;vidro ambar 500ml;+-250 ml;08/08/2019;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029425;4-ENV-6-MA;água/óleo;0,00;2.262,80;1;vidro ambar 500ml;+-250 ml;08/08/2019;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029425;4-ENV-6-MA;ÁGUA;0,00;2.269,50;1;vidro ambar 500ml;+-200 ml;08/08/2019;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029425;4-ENV-6-MA;água/óleo;0,00;2.289,00;1;vidro ambar 1 L;1 L;08/08/2019;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029891;7-GVR-27D-MA;fluido de poço;2.246,00;2.305,00;1;garrafa de plástico | 1 L;1L;15/09/2022;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029891;7-GVR-27D-MA;fluido de poço;2.246,00;2.687,00;1;frasco de vidro 100 ml;20 ml;15/09/2022;RIO DE JANEIRO/RJ;ENEVA
PARNAÍBA;50090029891;7-GVR-27D-MA;fluido de poço;2.515,00;2.687,00;1;garrafa de plástico | 1 L;1L;15/09/2022;RIO DE JANEIRO/RJ;ENEVA
RECÔNCAVO;20240027402;1-ALV-5-BA;Lama de Perfuração;2687,00;2991,60;6;Garrafa;2,00;02/04/2014;POJUCA/BA;ALVOPETRO
RECÔNCAVO;20240027402;1-ALV-5-BA;Água produzida;2621,50;2631,50;1;Garrafa;1,00;02/04/2014;POJUCA/BA;ALVOPETRO
RECÔNCAVO;20240027402;1-ALV-5-BA;Condensado;2621,50;2631,50;1;Garrafa;1,00;02/04/2014;POJUCA/BA;ALVOPETRO
RECÔNCAVO;20240027688;1-ALV-6D-BA;Condensado;3194,00;3212,00;2;Garrafa;1,00;12/10/2014;POJUCA/BA;ALVOPETRO
RECÔNCAVO;20240027869;1-ALV-7D-BA;Água produzida #1;1459,50;1468,50;2;Garrafa;1,00;01/12/2014;POJUCA/BA;ALVOPETRO
RECÔNCAVO;20240027869;1-ALV-7D-BA;Condensado #1;1459,50;1468,50;2;Garrafa;1,00;01/12/2014;POJUCA/BA;ALVOPETRO
RECÔNCAVO;20240027869;1-ALV-7D-BA;Água produzida #2;1371,00;1389,00;2;Garrafa;1,00;01/12/2014;POJUCA/BA;ALVOPETRO
RECÔNCAVO;20240027869;1-ALV-7D-BA;Condensado #2;1371,00;1389,00;2;Garrafa;1,00;01/12/2014;POJUCA/BA;ALVOPETRO
RECÔNCAVO;20240027869;1-ALV-7D-BA;Água produzida #3;1322,00;1327,00;2;Garrafa;1,00;01/12/2014;POJUCA/BA;ALVOPETRO
RECÔNCAVO;20240027869;1-ALV-7D-BA;Condensado #3;1322,00;1327,00;2;Garrafa;1,00;01/12/2014;POJUCA/BA;ALVOPETRO
RECÔNCAVO;20240028228;1-ALV-8D-BA;Água produzida #1;2025,90;2028,90;2;Garrafa;1,00;27/08/2015;POJUCA/BA;ALVOPETRO
RECÔNCAVO;20240028228;1-ALV-8D-BA;Água produzida #2;1899,80;1905,80;2;Garrafa;1,00;27/08/2015;POJUCA/BA;ALVOPETRO
RECÔNCAVO;20240028228;1-ALV-8D-BA;Óleo #2;1899,80;1905,80;2;Garrafa;1,00;27/08/2015;POJUCA/BA;ALVOPETRO
RECÔNCAVO;20240028228;1-ALV-8D-BA;Água produzida #3;1713,60;1722,10;2;Garrafa;1,00;27/08/2015;POJUCA/BA;ALVOPETRO
RECÔNCAVO;20240028228;1-ALV-8D-BA;Óleo #3;1713,60;1722,10;2;Garrafa;1,00;27/08/2015;POJUCA/BA;ALVOPETRO
RECÔNCAVO;20240028228;1-ALV-8D-BA;Óleo #4;1713,60;1.722,10;2;Garrafa;1,00;27/08/2015;POJUCA/BA;ALVOPETRO
POTIGUAR;30101019309;7-CAR-4-CES;ÁGUA;908,50;908,50;1;GARRAFA;1,00; 04/02/2001;RIO DE JANEIRO/RJ;BP
POTIGUAR;30101019309;7-CAR-4-CES;ÁGUA;944,00;944,00;1;GARRAFA;0,80; 04/02/2001;RIO DE JANEIRO/RJ;BP
POTIGUAR;30101019309;7-CAR-4-CES;ÁGUA;944,00;944,00;1;GARRAFA;0,90; 04/02/2001;RIO DE JANEIRO/RJ;BP
POTIGUAR;30101019309;7-CAR-4-CES;ÁGUA;944,00;944,00;1;GARRAFA;0,80; 04/02/2001;RIO DE JANEIRO/RJ;BP
POTIGUAR;30101019309;7-CAR-4-CES;ÁGUA;1006,00;1006,00;1;GARRAFA;0,05; 04/02/2001;RIO DE JANEIRO/RJ;BP
POTIGUAR;72101019231;1-DEV-1-RNS;ÁGUA;1006,00;1006,00;1;GARRAFA;1,00;03/08/2001;RIO DE JANEIRO/RJ;BP
CAMPOS;74281024771;6-DEV-18P-RJS;ÓLEO;5127,00;5127,00;1;GARRAFA;0,20;02/08/2010;RIO DE JANEIRO/RJ;BP
CAMPOS;74281024771;6-DEV-18P-RJS;ÓLEO;5127,00;5127,00;1;GARRAFA;0,25;02/08/2010;RIO DE JANEIRO/RJ;BP
CAMPOS;74281024771;6-DEV-18P-RJS;ÓLEO;5058,00;5058,00;1;GARRAFA;0,10;02/08/2010;RIO DE JANEIRO/RJ;BP
CAMPOS;74281024771;6-DEV-18P-RJS;ÓLEO;5070,00;5070,00;1;GARRAFA;0,05;02/08/2010;RIO DE JANEIRO/RJ;BP
CAMPOS;74281024771;6-DEV-18P-RJS;ÁGUA;5058,00;5058,00;1;GARRAFA;0,20;02/08/2010;RIO DE JANEIRO/RJ;BP
CAMPOS;74281024771;6-DEV-18P-RJS;ÓLEO;5058,00;5058,00;1;GARRAFA;0,20;02/08/2010;RIO DE JANEIRO/RJ;BP
CAMPOS;74281024771;6-DEV-18P-RJS;ÓLEO;5058,00;5058,00;1;GARRAFA;0,50;02/08/2010;RIO DE JANEIRO/RJ;BP
CAMPOS;74281024771;6-DEV-18P-RJS;ÓLEO;5070,00;5070,00;1;GARRAFA;0,25;02/08/2010;RIO DE JANEIRO/RJ;BP
CAMPOS;74281024771;6-DEV-18P-RJS;ÓLEO;5381,60;5381,60;1;GARRAFA;0,25;02/08/2010;RIO DE JANEIRO/RJ;BP
CAMPOS;74281024771;6-DEV-18P-RJS;ÓLEO;5130,50;5130,50;1;GARRAFA;0,25;02/08/2010;RIO DE JANEIRO/RJ;BP
CAMPOS;74281020613;3-BRSA-234-RJS;ÓLEO;2.855,00;2.885,00;1;Garrafa Ambar1L;1 L;28/11/2003;RIO DE JANEIRO/RJ;BW
